state,visited
Alabama,2
Alaska,2
Arizona,6
Arkansas,2
California,9
Colorado,4
Connecticut,2
Delaware,2
District of Columbia,7
Florida,8
Georgia,4
Hawaii,2
Idaho,2
Illinois,6
Indiana,4
Iowa,2
Kansas,2
Kentucky,2
Louisiana,2
Maine,2
Maryland,2
Massachusetts,4
Michigan,4
Minnesota,4
Mississippi,2
Missouri,4
Montana,2
Nebraska,2
Nevada,2
New Hampshire,2
New Jersey,4
New Mexico,2
New York,7
North Carolina,4
North Dakota,2
Ohio,6
Oklahoma,2
Oregon,4
Pennsylvania,6
Rhode Island,2
South Carolina,4
South Dakota,2
Tennessee,4
Texas,7
Utah,2
Vermont,2
Virginia,4
Washington,8
West Virginia,2
Wisconsin,4
Wyoming,2
